country;code;casos;muertes;poblacion;mortalidad;incidencia_100.000;muertes_100.000
Afghanistan;AFG;49273;1971;38041757;0.04;129.523;5.181
Albania;ALB;48460;1001;2862427;0.021;1692.969;34.97
Algeria;DZA;92102;2596;43053054;0.028;213.927;6.03
Andorra;AND;7150;79;76177;0.011;9386.035;103.706
Angola;AGO;16180;369;31825299;0.023;50.84;1.159
Anguilla;AIA;7;0;14872;0;47.068;0
Antigua_and_Barbuda;ATG;141;4;97115;0.028;145.189;4.119
Argentina;ARG;1498063;40764;44780675;0.027;3345.334;91.03
Armenia;ARM;148682;2503;2957728;0.017;5026.899;84.626
Aruba;ABW;4987;46;106310;0.009;4690.998;43.27
Australia;AUS;28031;908;25203200;0.032;111.22;3.603
Austria;AUT;320036;4400;8858775;0.014;3612.644;49.668
Azerbaijan;AZE;175874;1922;10047719;0.011;1750.387;19.129
Bahamas;BHS;7660;163;389486;0.021;1966.695;41.85
Bahrain;BHR;89143;348;1641164;0.004;5431.694;21.204
Bangladesh;BGD;490485;7047;163046173;0.014;300.826;4.322
Barbados;BRB;259;7;287021;0.027;90.237;2.439
Belarus;BLR;160295;1263;9452409;0.008;1695.811;13.362
Belgium;BEL;608001;17951;11455519;0.03;5307.494;156.702
Belize;BLZ;9291;195;390351;0.021;2380.166;49.955
Benin;BEN;3084;44;11801151;0.014;26.133;0.373
Bermuda;BMU;399;9;62508;0.023;638.318;14.398
Bhutan;BTN;435;0;763094;0;57.005;0
Bolivia;BOL;147118;9018;11513102;0.061;1277.831;78.328
Bonaire  Saint Eustatius and Saba;BES;169;3;25983;0.018;650.425;11.546
Bosnia_and_Herzegovina;BIH;100953;3334;3300998;0.033;3058.257;101
Botswana;BWA;12488;36;2303703;0.003;542.084;1.563
Brazil;BRA;6901952;181402;211049519;0.026;3270.3;85.952
British_Virgin_Islands;VGB;73;1;30033;0.014;243.066;3.33
Brunei_Darussalam;BRN;64;3;433296;0.047;14.771;0.692
Bulgaria;BGR;179286;5685;7000039;0.032;2561.214;81.214
Burkina_Faso;BFA;3931;68;20321383;0.017;19.344;0.335
Burundi;BDI;724;1;11530577;0.001;6.279;0.009
Cambodia;KHM;359;0;16486542;0;2.178;0
Cameroon;CMR;25071;442;25876387;0.018;96.888;1.708
Canada;CAN;460743;13431;37411038;0.029;1231.57;35.901
Cape_Verde;CPV;11351;109;549936;0.01;2064.058;19.82
Cayman_Islands;CYM;284;1;64948;0.004;437.273;1.54
Central_African_Republic;CAF;4931;63;4745179;0.013;103.916;1.328
Chad;TCD;1763;102;15946882;0.058;11.055;0.64
Chile;CHL;571763;15886;18952035;0.028;3016.895;83.822
China;CHN;91962;4738;1433783692;0.052;6.414;0.33
Colombia;COL;1425539;39051;50339443;0.027;2831.853;77.575
Comoros;COM;617;6;850891;0.01;72.512;0.705
Congo;COG;6045;99;5380504;0.016;112.35;1.84
Costa_Rica;CRI;150860;1894;5047561;0.013;2988.77;37.523
Cote_dIvoire;CIV;21600;133;25716554;0.006;83.993;0.517
Croatia;HRV;175886;2640;4076246;0.015;4314.902;64.765
Cuba;CUB;9356;135;11333484;0.014;82.552;1.191
Curaçao;CUW;3613;10;163423;0.003;2210.827;6.119
Cyprus;CYP;14985;78;875899;0.005;1710.814;8.905
Czechia;CZE;581079;9609;10649800;0.017;5456.243;90.227
Democratic_Republic_of_the_Congo;COD;14467;352;86790568;0.024;16.669;0.406
Denmark;DNK;109758;941;5806081;0.009;1890.397;16.207
Djibouti;DJI;5702;61;973557;0.011;585.687;6.266
Dominica;DMA;73;0;71808;0;101.66;0
Dominican_Republic;DOM;154692;2361;10738957;0.015;1440.475;21.985
Ecuador;ECU;202110;13875;17373657;0.069;1163.313;79.862
Egypt;EGY;121575;6920;100388076;0.057;121.105;6.893
El_Salvador;SLV;41848;1205;6453550;0.029;648.449;18.672
Equatorial_Guinea;GNQ;5173;85;1355982;0.016;381.495;6.269
Eritrea;ERI;689;0;3497117;0;19.702;0
Estonia;EST;18055;149;1324820;0.008;1362.827;11.247
Eswatini;SWZ;6762;127;1148133;0.019;588.956;11.061
Ethiopia;ETH;116757;1806;112078727;0.015;104.174;1.611
Falkland_Islands_(Malvinas);FLK;8;0;3372;0;237.248;0
Faroe_Islands;FRO;510;0;48677;0;1047.723;0
Fiji;FJI;41;2;889955;0.049;4.607;0.225
Finland;FIN;30810;453;5517919;0.015;558.363;8.21
France;FRA;2376852;57911;67012883;0.024;3546.858;86.418
French_Polynesia;PYF;15582;91;279285;0.006;5579.247;32.583
Gabon;GAB;9324;62;2172578;0.007;429.168;2.854
Gambia;GMB;3779;122;2347696;0.032;160.966;5.197
Georgia;GEO;191063;1839;3996762;0.01;4780.445;46.012
Germany;DEU;1337078;21975;83019213;0.016;1610.565;26.47
Ghana;GHA;52946;324;30417858;0.006;174.062;1.065
Gibraltar;GIB;1006;5;33706;0.005;2984.632;14.834
Greece;GRC;124534;3625;10724599;0.029;1161.2;33.801
Greenland;GRL;9;0;56660;0;15.884;0
Grenada;GRD;57;0;112002;0;50.892;0
Guam;GUM;7046;117;167295;0.017;4211.722;69.936
Guatemala;GTM;129257;4422;17581476;0.034;735.189;25.151
Guernsey;GGY;229;13;64468;0.057;355.215;20.165
Guinea;GIN;13415;79;12771246;0.006;105.041;0.619
Guinea_Bissau;GNB;2411;44;1920917;0.018;125.513;2.291
Guyana;GUY;5915;154;782775;0.026;755.645;19.674
Haiti;HTI;9550;234;11263079;0.025;84.79;2.078
Holy_See;VAT;21;0;815;0;2576.687;0
Honduras;HND;114307;2975;9746115;0.026;1172.847;30.525
Hungary;HUN;283820;7129;9772756;0.025;2904.196;72.948
Iceland;ISL;5557;28;356991;0.005;1556.622;7.843
India;IND;9884100;143355;1366417756;0.015;723.359;10.491
Indonesia;IDN;617820;18819;270625567;0.03;228.293;6.954
Iran;IRN;1108269;52196;82913893;0.047;1336.651;62.952
Iraq;IRQ;574634;12579;39309789;0.022;1461.809;32
Ireland;IRL;76185;2124;4904240;0.028;1553.452;43.309
Isle_of_Man;IMN;305;25;84589;0.082;360.567;29.555
Israel;ISR;357859;2999;8519373;0.008;4200.532;35.202
Italy;ITA;1843712;64520;60359546;0.035;3054.549;106.893
Jamaica;JAM;11689;272;2948277;0.023;396.469;9.226
Japan;JPN;179653;2585;126860299;0.014;141.615;2.038
Jersey;JEY;1698;30;107796;0.018;1575.198;27.83
Jordan;JOR;259487;3365;10101697;0.013;2568.747;33.311
Kazakhstan;KAZ;186157;2552;18551428;0.014;1003.465;13.756
Kenya;KEN;91867;1587;52573967;0.017;174.739;3.019
Kosovo;XKX;46509;1197;1798506;0.026;2585.98;66.555
Kuwait;KWT;146218;911;4207077;0.006;3475.525;21.654
Kyrgyzstan;KGZ;77590;1312;6415851;0.017;1209.349;20.449
Laos;LAO;30;0;7169456;0;0.418;0
Latvia;LVA;25604;349;1919968;0.014;1333.564;18.177
Lebanon;LBN;146520;1200;6855709;0.008;2137.197;17.504
Lesotho;LSO;2248;44;2125267;0.02;105.775;2.07
Liberia;LBR;1673;83;4937374;0.05;33.884;1.681
Libya;LBY;90761;1298;6777453;0.014;1339.161;19.152
Liechtenstein;LIE;1468;18;38378;0.012;3825.108;46.902
Lithuania;LTU;95021;825;2794184;0.009;3400.671;29.526
Luxembourg;LUX;41272;396;613894;0.01;6722.985;64.506
Madagascar;MDG;17584;258;26969306;0.015;65.2;0.957
Malawi;MWI;6050;185;18628749;0.031;32.477;0.993
Malaysia;MYS;83475;415;31949789;0.005;261.269;1.299
Maldives;MDV;13355;48;530957;0.004;2515.27;9.04
Mali;MLI;5767;189;19658023;0.033;29.337;0.961
Malta;MLT;11049;166;493559;0.015;2238.638;33.633
Marshall_Islands;MHL;3;0;58791;0;5.103;0
Mauritania;MRT;10777;222;4525698;0.021;238.129;4.905
Mauritius;MUS;372;7;1269670;0.019;29.299;0.551
Mexico;MEX;1250044;113953;127575529;0.091;979.846;89.322
Moldova;MDA;126438;2571;4043258;0.02;3127.132;63.587
